Date,Open,High,Low,Close,Previous Close,Change,Percent Change,Index Name,Fund Name
2026-02-11,25997.45,26009.4,25899.8,25953.85,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-12,25906.7,25906.7,25752.4,25807.2,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-13,25571.15,25630.35,25444.3,25471.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-16,25423.6,25697.0,25372.7,25682.75,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-17,25637.95,25764.4,25570.3,25725.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-18,25752.65,25828.05,25645.15,25819.35,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-19,25873.35,25885.3,25388.75,25454.35,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-20,25406.55,25663.55,25379.75,25571.25,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-23,25678.4,25771.45,25609.35,25713.0,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-24,25641.8,25641.8,25327.6,25424.65,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-25,25512.6,25652.6,25428.2,25482.5,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-26,25556.3,25572.95,25400.95,25496.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-27,25459.85,25476.4,25141.3,25178.65,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-02,24659.25,24989.35,24603.5,24865.7,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-04,24388.8,24602.45,24305.4,24480.5,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-05,24615.95,24854.2,24529.4,24765.9,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-06,24656.4,24700.8,24415.75,24450.45,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-09,23868.05,24078.15,23697.8,24028.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-10,24280.8,24303.8,24079.95,24261.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-11,24231.85,24299.0,23834.3,23866.85,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-12,23674.85,23833.15,23556.3,23639.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-13,23462.5,23492.4,23112.0,23151.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-16,23116.1,23502.0,22955.25,23408.8,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-17,23493.2,23656.8,23346.6,23581.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-18,23632.9,23862.25,23618.45,23777.8,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-19,23197.75,23378.7,22930.35,23002.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-20,23110.15,23345.15,23067.6,23114.5,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-23,22824.35,22851.7,22471.25,22512.65,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-24,22878.45,23057.3,22624.2,22912.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-25,23064.4,23465.35,23063.2,23306.45,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-27,23173.55,23186.1,22804.55,22819.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-03-30,22549.65,22714.1,22283.85,22331.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-01,22899.0,22941.3,22618.6,22679.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-04-02,22383.4,22782.3,22182.55,22713.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
